RÉGIONS,,QUESTIONS,RÉPONSES,,,,EXPLICATION DE LA BONNE RÉPONSE (1 PHRASE)
Hauts-de-France,,Ces deux caps font face à l'Angleterre. Quels sont-ils ?,Le Cap Horn et le Cap de Bonne-Espérance,Le Cap Gros-Nez et le Cap Grand-Nez,$Le Cap Gris-Nez et le Cap Blanc-Nez,Le Cap-Acité et le Cap-Able,"Ils sont situés à Escalles et à Audinghen dans le Pas-de-Calais et forment le ""Grand site des Deux Caps""."
Hauts-de-France,,Laquelle de ces villes du Pas-de-Calais n'existe pas ?,Wittes,Wissant,Wimille,$Wissan-Mille,"Les villes de Wittes, Wissant et Wimille se trouvent dans le Nord-Pas-De-Calais."
Hauts-de-France,,Comment s'appelle la côte qui longe le Pas-de-Calais ?,La Côte Frisquette,La Côte de Ports,$La Côte d'Opale,La Côte Ch'ti,Elle fait face aux falaises de l'Angleterre et borde la Manche et la mer du Nord.
,,,,,,,
Normandie,,De quelle forme est le fromage de Neufchâtel ?,En forme d'œuf,En forme de château,$En forme de cœur,En forme d'étoile,"Selon la légende, ils étaient offerts par les jeunes filles aux soldats anglais pendant la guerre de Cent Ans, témoignage de leur amour."
Normandie,,Le drapeau normand est constitué de...,Deux vaches blanches sur fond bleu,Deux lions jaune sur fond rouge,$Deux léopards jaunes sur fond rouge,Deux tigres rouges sur fond jaune,"Les léopards proviennent du plus ancien blason connu des Plantagenêts, maison royale issue des comtes d'Anjou et du Maine ayant régné sur la Normandie au 12 ème siècle."
Normandie,,Que pouvait-on admirer au Havre en 2017 ?,$Une boule à facette géante,Un Manneken Pis en tenue de bain,La statue de Zinédine Zidane,Un orteil gonflable géant,Une œuvre de Michel De Broin pour le festival Ouest Park en 2017.
,,,,,,,
Île-de-France,,Qu'a de particulier la Rue des Degrés située dans le 2ème arrondissement de Paris ?,Elle a un angle de 90°,Il fait 2° de moins dedans,Son inclinaison est de 14°,$C'est la rue la plus courte de Paris,"Longue de seulement 5,75 mètres, elle n'est constituée que d'un escalier."
Île-de-France,,Quelle est la particularité militaire du Mont Valérien à Paris ?,$On y entraîne des pigeons voyageurs,Le port de la moustache est interdit,On tire la chasse avec des armes,Le permis de conduire y est obligatoire,"Le fort du Mont Valérien se trouve près de Paris, 200 volatiles sont toujours prêts à transmettre des messages pour l'armée."
Île-de-France,,Quelle est la mascotte de la RATP ?,Henry le chien,$Serge le lapin,Patrick l'escargot,Sébastien le rat,Ce personnage existe depuis la fin des années 1970. Il permet d'avertir le jeune public de certains dangers relatifs aux transports en commun. 
c,,,,,,,
Grand Est,,"En Alsace, en 2012, combien de personnes déclaraient bien savoir parler l'alsacien ?",3% de la population,23% de la population,$43% de la population,73% de la population,C'est la deuxième langue autochtone parlée en France après le français.
Grand Est,,Quelle charcuterie a fait la réputation de Troyes ?,$L'andouillette,La bandouillette,La cancouillette,Le salami,"La dénomination AAAAA, venant de Troyes, signifie : Association Amicale des Amateurs d'Andouillette Authentique."
Grand Est,,Quel animal est le symbole des Ardennes ?,$Le sanglier,Le coq,Le dragon,L'ornithorynque,Il daterait de l'époque de Charlemagne et fut notamment utilisé par la Résistance pendant la Seconde Guerre mondiale.
,,,,,,,
Bretagne,,"Au XIXe siècle, combien de modèles de coiffes Bretonnes ont été recensés ?",Une seule,Plus de 50,Plus de 100,$Plus de 700,La coiffe bigoudène peut mesurer jusqu'à 40 cm de haut.
Bretagne,,"À Brest, le soleil se lève plus tard qu'à Strasbourg. Combien de temps met-il de plus ?",10 minutes,Environ 30 min,Environ 45 min,$Presque 1h,Pourtant il n'y a pas de décalage horaire entre les deux villes.
Bretagne,,Quelle invention est originaire de Bretagne ? ,Le téléphone à clapet,Le Talkie-walkie,$Le Minitel,Les parapluies de pied,"Le Minitel, fleuron de la télématique française a vu le jour en Bretagne, à Rennes et à Lannion."
,,,,,,,
Pays de la Loire,,Que signifie le ''BN'' des célèbres gâteaux LU ?,Biscuit National,Bernard Navon,Brioche Naine,$Biscuit Nantais,"La biscuiterie LU, ""Lefêvre-Utile"" est emblématique de la ville de Nantes."
Pays de la Loire,,Combien de fois la ville de La Roche-sur-Yon en Vendée a-t-elle changé de nom en 70 ans ?,Une seule fois,4 fois,$8 fois,10 fois,"Durant les trois quarts du XIXe siècle, la ville a changé 8 fois de nom."
Pays de la Loire,,Quel ingrédient a servi de colle pour tapisser la brasserie de La Cigale à Nantes ?,Du miel,Du sucre,$Du fromage blanc,De la sauce mayonnaise,"La tapisserie aurait été collée avec du fromage blanc, procédé autrefois utilisé au Moyen Âge."
,,,,,,,
Centre-Val de Loire,,Quelle est cette spécialité de Touraine ?,$Les poires tapées,Les abricots secs,Les pruneaux fumés,Les olives rapées,Ce sont des poires déshydratées que l'on déguste en fruits secs ou réhydraté avec du vin rouge de Chinon.
Centre-Val de Loire,,À quoi équivaut la superficie du parc du domaine de Chambord ?,Un terrain de basket,Le Parc des Princes,Le parc de Disneyland Paris,$Paris intra-muros,C'est le plus grand parc clos d'Europe avec une superficie de 5440 hectares.
Centre-Val de Loire,,"Dans le château de Chenonceau, de quelle couleur est la chambre de la ''reine blanche'' Louise de Lorraine",Blanche,$Noire,Rose,Bleu,"Elle porta le deuil de son mari Henri III pendant 12 ans en se parant d'un voile blanc comme le veut la tradition en ""deuil des reines"", mais décida de recouvrir les murs de sa chambre d'un sinistre noir. "
,,,,,,,
Bourgogne-Franche-Comté,,Quel est le nom de ce panier en osier utilisé pour les vendanges en Bourgogne ?,Le bénaton,La besace,Le vannier,$Le vendangerot,"Un vendangerot, est un panier utilisé en Bourgogne pour récolter le raisin pendant les vendanges."
Bourgogne-Franche-Comté,,Qu'est-ce que la fosse Dionne en Bourgogne-Franche-Comté ?,$Une source d'eau qui s'étend à plus de 70 mètres de profondeur,Une source d'eau où l'eau n'est pas soumise à la gravité,Une fosse où des gens sont enterrés,Un aquarium à cliones,La fosse Dionne est une sorte de puits naturel d'eau turquoise situé à Tonnerre et dont l'origine demeure mystérieuse.
Bourgogne-Franche-Comté,,Quelle spécialité culinaire n’est pas de Bourgogne-Franche-Comté ?,La pôchouse,La pôchouse,$Les gogues,L’époisses,"Les gogues sont une spécialité charcutière de l'Anjou à base d'abats, de légumes, de lard ou de couenne, de crème fraîche et de sang."
,,,,,,,
Nouvelle-Aquitaine,,Quel concours a eu lieu lors des premières fêtes de Bayonne en juillet 1932 ?,Un concours de lancer d'espadrilles,Un concours de gâteau basque,$Un concours d'élégance ,Une course d'aviron,Un concours d'élégance ou défilé des plus belles voitures a eu lieu lors de la première édition des fêtes de Bayonnes en 1932.
Nouvelle-Aquitaine,,Qui a introduit la pratique du surf à Biarritz en 1956 ?,Un pêcheur basque,"$Peter Viertel, un scénariste hollywoodien",Brice de Nice,Un skateur,"Pendant le tournage du film ""le soleil se lève aussi"", l'Américain Peter Viertel fit venir une planche de Californie. Il transmit sa passion aux fameux ""tontons surfeurs"" pionniers du surf en France."
